Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,G,Gd,S,P↑,P↓,Y,Yd,Ydd,ϴ1,ϴ2,ϴ3,ϴ4,W,Wd,Pd,λ,E_Low,E_High,Ö,Öd,Ödd,I,Im,Id,M,Mσ,R
2025-08-15 ,132.19803802358427,132.82565981234418,128.80093324475055,130.00636291503906,1542300,0.0,0.0,0.05973536981820416,-1.0,0.005557204395871557,0.005552418209028198,0.9944475817909717,-0.0019501578177630935,-5.948038046844493e-05,3.916119912132343e-06,0.007692155970095777,0.020643469401690238,1.1067911709720462,0.6069397735624779,-0.492814113836449,-0.7116573796462167,-0.9888951635819435,7.761179850088796,123.57708866303066,123.57708866303066,0.05071823372100905,-0.001008679446221364,2.0111125385387346e-05,142.0,-0.003470470666569078,-1.0089302175969811e-05,-0.005967970831923654,0.004899339863295001,1.1937517742572996
2025-08-18 ,130.29525272026353,131.90913506740557,129.60787555880006,130.68377685546875,1515600,0.0,0.0,0.04973536981820416,-1.0,0.009126923792390659,0.009126923792390659,0.9908730762076093,0.0025985407082371134,-3.98139208246944e-05,2.832495532287526e-06,1.1875416746306653,0.682887938179849,1.5088501134246202,0.7853981629917901,-0.10831724611581196,0.19224843386031853,-0.9817461524152187,7.7586728330362424,123.56342305344954,123.56342305344954,0.05602591663282885,-0.0011515985638329376,2.3553681468701313e-05,143.0,-0.0035057330990009485,-0.0034918380989934408,0.007909358103381168,0.005300675628639824,1.464512710490847
2025-08-19 ,131.97886089977246,133.38353091178257,131.24166984180604,131.67999267578125,2963300,0.0,0.0,0.5478710994383869,1.0,0.11955470221177478,0.8804452977882252,0.11955470221177478,0.003797078468922674,-6.833996177849925e-05,2.28910496877729e-06,0.010375165499306616,0.015150355871689563,0.8501308715951352,0.011783986027183188,0.14164040412381695,0.12497882511981445,0.7608905955764504,7.996871406811126,124.84873616380406,124.84873616380406,0.05327178746983867,-0.0012704728520019739,2.7056552740450612e-05,144.0,0.003512791179017889,-1.7631216215935287e-05,0.009900622079457008,0.005914001822082115,1.6462619022003058
2025-08-20 ,130.51442137389026,136.4518830963567,129.4783620832743,130.93283081054688,3508000,0.0,0.0,0.11951347552575499,-1.0,0.015620737012237198,0.015601279701980744,0.9843987202980192,-0.0028451080770367366,-9.832992012308184e-05,2.338709969225695e-06,0.05621128703469851,0.008269296726338724,0.8309693515634982,0.0074625480323540945,0.2233397197330709,0.040849657804626974,-0.9687974405960385,8.065956636624545,125.21667296470508,125.21667296470508,0.04463882935566353,-0.0013499025452204465,3.0097023192827284e-05,143.0,0.003490141234732357,0.0035092621390094185,-0.008576047012118256,0.003981995310855399,2.1009448465831553
2025-08-21 ,130.09601478196666,131.5405268403347,129.21935388645124,131.082275390625,1753600,0.0,0.0,0.10951347552575498,-1.0,0.015141795124141145,0.015141795124141145,0.9848582048758588,0.0005703662748489903,-4.475675427000501e-05,2.7371039350216315e-06,1.018011251009627,0.007246249975012683,0.012608835679094968,0.09814902636261029,-0.1489658471414225,-0.1861527834372467,-0.9697164097517177,8.152704384855527,125.67567652841875,125.67567652841875,0.042120589750800824,-0.001338921206197214,3.298984411816581e-05,144.0,-0.0034799116767988223,-1.1324972142766083e-05,0.0017204454324906495,0.0036804553270734326,0.4550894756432685
2025-08-22 ,131.70989104862255,140.32716429438292,130.60408927849093,138.6435546875,2904400,0.0,0.0,3.8652811980262154,1.0,0.3479786795124051,0.6520213204875949,0.3479786795124051,0.02803320429001889,-4.26777729159962e-05,2.425683826959633e-06,0.19739555969672878,1.3921919750607108,1.3129816067379374,1.4647030297347963,0.041949887050288515,0.0954578670958555,0.3040426409751898,8.826850185117479,129.13505774053718,129.13505774053718,0.07104746886393394,-0.0013221390611770224,3.498694953255129e-05,145.0,0.0034851995247600887,-0.0034850264557655898,0.05867787680447743,0.011013444857393966,5.279899937186267
2025-08-25 ,137.9761088381755,138.8129277994785,137.17913188409457,138.085693359375,1433600,0.0,0.0,3.855281198026215,1.0,0.347078412076002,0.6531245536699365,0.34687544633006356,-0.002015910251852035,-0.0003094871101750335,2.1871550441066266e-06,1.5286896001492176,0.0058138879766896955,0.23589489247247777,0.03687487510009195,0.95493204903548,0.4564910809925957,0.30624910733987293,9.414737756106526,132.00905683146934,132.00905683146934,0.045003926217380384,-0.00159526061604831,3.63552026314015e-05,144.0,0.0035011692363343676,0.0034825556007794557,-0.00422237207179781,0.008982002600168395,0.4649164130078008
2025-08-26 ,137.77684407631762,139.00218699626146,137.14922236560736,137.17910766601562,1194500,0.0,0.0,3.8452811980262154,1.0,0.3461781446395989,0.6541537989287578,0.34584620107124225,-0.0032935038914610475,-0.00013891465895261748,4.645350185420958e-06,0.027594631787218733,0.011493746705118107,1.1458876084037863,0.006356589203237316,-0.11766223635870765,-0.5362971426970938,0.30830759785751555,9.924554953346668,134.40493330217012,134.40493330217012,0.020430293677043652,-0.0014579180540321617,4.005343888426521e-05,143.0,-0.003457109470633532,7.984855787139446e-06,-0.006902554756120483,0.0068640616193298785,0.991167961087726
2025-08-27 ,136.94003285650783,138.16537584440084,136.32236781132607,137.418212890625,1314800,0.0,0.0,3.835281198026215,1.0,0.394451466409299,0.6055485335907009,0.394451466409299,0.0008707485714889023,-7.055680273867177e-05,4.093237641557601e-06,1.3710585706471705,1.5130286304388285,1.5616571108641102,0.7853981629738409,-0.1701680009674843,-0.026252882304388325,0.21109706718140192,9.720193125820934,133.45473742507238,133.45473742507238,0.029266549946584522,-0.0011820936147480074,4.062723954214294e-05,144.0,-0.0034792131224910825,-0.0034791393534839496,0.0017804437225967466,0.006186245899765461,0.2832284563769888
2025-08-28 ,138.72325556163506,138.72325556163506,136.3622254839228,138.3546600341797,1036200,0.0,0.0,3.8252811980262154,1.0,1.0,0.0,1.0,0.0033957188523398734,-7.41146273756901e-05,3.380605613038286e-06,1.1029527730579927,0.7853981629729216,1.1077534436680363,0.7153671148756328,0.04809299523603663,0.10913049810176047,-1.0,9.525448781768636,132.5366425486948,132.5366425486948,0.04296123387018805,-0.0011673413663414074,3.8653364776893e-05,145.0,0.0034856617734642893,-1.1051825928775228e-05,0.010479736004645367,0.006758711247082782,1.527945356950654
2025-08-29 ,138.00598927252932,138.99224992851197,137.12931313387807,138.47421264648438,1188100,0.0,0.0,3.815281198026215,1.0,1.0,0.0,1.0,0.0004318646792402952,-9.544610003459189e-05,3.12591516574362e-06,1.2301847920664044,0.6143051357924103,0.7853981635327748,1.4698500663834797,0.18290945703210074,0.06740823089803205,-1.0,9.5739352602365,132.7663998636639,132.7663998636639,0.042092926059434946,-0.001292474202393926,3.813411414836265e-05,146.0,0.003465380417546406,0.003482437447977686,0.0013328040467927877,0.006035256953710783,0.2172368748120107
2025-09-02 ,135.6549083721371,138.68341748689994,135.0571871107729,137.75692749023438,1380700,0.0,0.0,1.2950383731498982,-1.0,0.32910233791235305,0.3288473566615584,0.6711526433384416,-0.0025966846311932267,-7.83864133370651e-05,3.203679511800517e-06,1.5578427709626803,0.7600581890881976,1.5448478399218546,0.32175055448773177,0.026012201675538985,-0.07844862767828087,-0.3423052866768832,9.860844050137157,134.11013130927358,134.11013130927358,0.026829399240170512,-0.0013503879354243564,3.9436448857369926e-05,145.0,0.003437082645335366,-1.0140677958941652e-05,-0.005500612912969496,0.004497140971486746,1.1965290921219152
2025-09-03 ,137.64734649321582,141.01456592883005,137.11935252504875,140.25743103027344,2150700,0.0,0.0,1.2850383731498982,-1.0,0.21570533155536029,0.21570533155536029,0.7842946684446397,0.008994152508330293,-2.760562855017962e-05,3.1176303673327067e-06,1.1764765314239949,1.3421976121332528,0.3439386972515563,0.7853981630097296,-0.15782689054663845,-0.09191954611108871,-0.5685893368892794,10.305962878572366,136.14362195891215,136.14362195891215,0.029769154842688238,-0.001220565599077822,4.0988796622263544e-05,146.0,-0.003432459109659525,-1.4148886105519974e-05,0.020975246411420158,0.006694221696811201,3.087218425808018
2025-09-04 ,141.3632225369631,145.64695977770387,140.82527190722772,144.85995483398438,2727700,0.0,0.0,1.2750383731498982,-1.0,0.12040280875259035,0.12040280875259035,0.8795971912474096,0.016142557528575838,-0.00011023957152112956,2.475307354510031e-06,0.7853981629922415,0.01256977246324306,1.4024491630243976,0.014209130102165573,0.5559013800051127,0.35686413527587557,-0.7591943824948193,10.069522055858888,135.07100054672708,135.07100054672708,0.06996687681484108,-0.001167835738876948,4.0658568568904254e-05,147.0,0.0034499076897713706,-0.0034347708774974456,0.042044866928053655,0.011407641060976862,3.6536477550234387
