Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Low_High_Avg,RV,Sd,Rs,G,Rf,Sf,R*,Ss,P↑,P↓,Y_High,Y_Close,Y_Low,cos_θ1,sin_θ1,cos_θ2,sin_θ2,cos_θ3,sin_θ3,cos_θ4,sin_θ4
2016-02-10,67.96398075641207,70.31142209688713,67.85965053555279,69.3873519897461,7471500,0.0,0.0,69.08553631621996,0.005399883851959256,1.0,1.93756103515625,1.4680780453428497,2.5784530639648438,0.3241752298121236,-5.074958801269531,0.1457624778192363,0.3606158492669327,0.6393841507330673,0.01613966215965493,0.017815010835804456,0.032311210925932414,0.9813355151896992,-0.1923034233376192,1.0,0.0,0.9962393556909569,-0.08664378900110006,0.49253900157460956,0.8702903721907342
2016-02-11,68.43347242197002,70.34123152937637,68.17264686987473,69.95372009277344,8835600,0.0,0.0,69.25693919962555,0.00643788426831381,1.0,2.5039291381835938,0.0,3.1448211669921875,0.0,-5.074958801269531,0.2434327617445565,0.060858190436139124,0.9391418095638608,0.0005012611189408857,0.009613419197446281,0.0054419614367967615,0.9868049222014494,-0.16191369774973138,1.0,0.0,0.9982044878252951,-0.05989825110502178,0.7308735087216857,0.682512940718967
2016-02-12,70.54987888596467,71.51866582614424,70.07293919757245,71.43669128417969,4701700,0.0,0.0,70.79580251185834,0.003498424854608056,1.0,3.9869003295898438,0.0,4.6277923583984375,0.0,-5.074958801269531,0.6171712904568842,0.15429282261422106,0.8457071773857789,0.008833359477381732,0.011162503812698418,0.014629113347659593,0.9968632341675769,-0.07914349224641638,1.0,0.0,1.0,0.0,0.7307850895776288,0.682607612652406
2016-02-16,72.24154663085938,72.75574398109283,71.79441058986203,72.24154663085938,5943300,0.0,0.0,72.27507728547744,0.004472094702926627,1.0,4.791755676269531,0.0,5.432647705078125,0.0,-5.074958801269531,0.891506040255528,0.222876510063882,0.777123489936118,0.021677568395008104,0.014162162520265913,0.030677508684088736,0.99995482984708,-0.009504644417195446,0.9993816422512249,0.03516152913689248,1.0,0.0,0.7435840058501847,0.6686425250040506
2016-02-17,72.58433136547877,73.2177663751216,72.26388696969667,72.80044555664062,5626600,0.0,0.0,72.74082667240913,0.004266545514783368,1.0,5.350654602050781,0.0,5.991546630859375,0.0,-5.074958801269531,1.1116006504752522,0.27790016261881306,0.7220998373811869,0.005992904526314392,0.0072960517118473315,0.0061705496878423916,0.9999451245376908,-0.010476063826743768,0.9999264886972411,0.012125065014508678,1.0,0.0,0.7900459146069007,0.6130476758074741
2016-02-18,72.65886113745934,72.83026402948589,71.82421371143394,72.20427703857422,4093200,0.0,0.0,72.32723887045992,0.0030783797471893464,-1.0,-0.5961685180664062,0.0,-0.5961685180664062,0.0,5.350654602050781,0.012414357357023153,0.9968964106607442,0.0031035893392557883,-0.0038603399430584707,-0.0059818264797421574,-0.0044396512324767585,0.9811295249693773,-0.19335163623141124,0.9994043411132761,0.03451033126381581,1.0,0.0,0.8483511379482779,0.5294339871427429
2016-02-19,71.83912993355706,72.77810769028376,71.58575245640871,72.72593688964844,4349700,0.0,0.0,72.18193007334624,0.0032949204448663202,-1.0,-0.0745086669921875,0.0,0.5216598510742188,0.0,5.350654602050781,0.0001939097976320655,0.5,0.5,-0.0007612846806411408,0.007649883381003443,-0.003533986016750325,0.9931724338363008,-0.11665554709347761,0.9994591389113551,0.032885097636658665,1.0,0.0,0.8785061034940486,0.47773112325209055
2016-02-22,73.06130266593473,73.62021715479388,72.28627389244808,72.62907409667969,4200400,0.0,0.0,72.95324552362098,0.003177587081882261,1.0,-0.09686279296875,0.7899531253079886,-0.09686279296875,2.0,5.350654602050781,0.0003277178829919438,0.0,1.0,0.011109481292376103,-0.001287028962380683,0.00940386551773346,0.9999911242853751,-0.004213235155029674,0.997360844854126,0.07260402985967106,1.0,0.0,0.8832937634263214,0.4688199307753093
2016-02-23,72.56199829543048,72.65887474828912,71.4590713360614,72.09996032714844,4486900,0.0,0.0,72.05897304217527,0.003369595115941334,-1.0,-0.52911376953125,0.12668112034731394,-0.6259765625,0.040955067432589184,5.350654602050781,0.00977877138742672,0.9566002397205542,0.043399760279445865,-0.014040467901054354,-0.007810505369832155,-0.012294300215644626,0.881056995312073,-0.4730101172402781,0.9996098049467907,0.027932738036915913,1.0,0.0,0.9172634172228145,0.3982810859490129
2016-02-24,71.7571541706809,72.36077987571001,70.74365565015613,72.19683074951172,6380600,0.0,0.0,71.55221776293307,0.0047981736006804864,-1.0,-0.43224334716796875,0.0,0.09687042236328125,0.0,5.350654602050781,0.006525935859582958,0.5,0.5,-0.00584618782555689,0.0019093240580307458,-0.01430855107163049,0.943366197528925,-0.33175324770048165,0.9998175200573587,0.01910305175497082,1.0,0.0,0.943613171913973,0.3310501197559833
