Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,G,Gd,S,P↑,P↓,Y,ϴ1,ϴ2,ϴ3,ϴ4,W,Yd,Pd,Wd,λ,E_High,E_Low,Ö,Öd,Ödd,I,Im,Id
2016-05-10 ,32.11958737585742,32.11958737585742,31.68349859070506,31.951860427856445,11228200,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0015774028713120742,0.03151550942761911,0.7853981640422549,0.08804873108738562,0.24707125815789727,0.0,0.8461744970667137,1.0,0.0,1870.092713505118,13.039053171568721,46.747408432877116,0.2578765265185056,0.00038690527444892875,0.0009591780615964413,3.0,0.33335272363654006,-0.3331982103034133
2016-05-11 ,32.03571528038474,32.1111922229479,31.784126538215705,31.876373291015625,10598300,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.0011826605945779297,0.704732611643082,0.7853981640646913,0.16864318909909418,0.07082910824825729,0.0,-0.999999637689622,1.0,0.0,1838.5935935763423,12.965141048479481,46.48272999606056,0.261192514301021,0.0016579938912576753,0.0006355443084043733,2.0,0.20013930248544454,0.33282590828612857
2016-05-12 ,31.985400282319844,32.0105581999692,31.465449723109103,31.867992401123047,10395400,0.0,0.0,0.2080488675959573,-1.0,0.23403934392994424,0.2340257189792773,0.7659606560700558,-0.00013147655956064687,0.08522952371212887,1.012287528362647,0.026973198939946163,0.7853981638507973,-0.0,0.7999037481004717,-0.5319349370907785,-0.0,1883.9021770723234,13.071194717035647,46.8625074703533,0.2527876960504943,-0.0042024091252633455,-0.0029302015082605104,1.0,-0.19989508665572048,-0.06660671057554776
2016-05-13 ,31.75059108484995,31.91831803515043,31.42352529128303,31.53254508972168,9337900,0.0,0.0,0.19804886759595733,-1.0,0.28452759026093943,0.2838554157923476,0.7154724097390606,-0.005290922201563465,0.08417755650009955,1.1167864986895193,0.18355263182092837,0.7853981639336265,-0.17562305357958938,-0.9515059511092222,-0.431616993946713,-0.9999999943059867,1875.4027722090998,13.051431040561372,46.79173360553268,0.24371801942303858,-0.004534838313727849,-0.00016621459423225154,0.0,-0.33331392772568225,-0.2000171945705825
2016-05-16 ,31.53254402199915,32.211836708108116,31.53254402199915,32.07765579223633,10178500,0.0,0.0,0.19127850813891256,1.0,0.24264333112069408,0.7573566688793059,0.24264333112069408,0.008569548515122835,1.1186560756341124,0.19739556031275354,0.6107351486560202,0.49395090590240176,-0.222086671420682,0.9999999278523833,0.5147133377586117,-0.11682796472787522,1901.3602052502658,13.111603852904674,47.00721325442406,0.25626036059167145,0.006271170584316435,0.005403004449022142,1.0,-0.9976375762019398,-0.06670942053498088
2016-05-17 ,32.052497875153286,32.119586733536785,31.490613090455284,31.624794006347656,8357100,0.0,0.0,0.18127850813891258,1.0,0.22995798902546621,0.7700420109745338,0.22922591869734865,-0.007109016801089153,0.8288392266162514,0.7853981653816895,1.1760056075308452,1.2490536741928735,0.21635584512004744,-0.999999936218658,0.5408160922771852,0.9999999977191992,1725.0416452805068,12.691448991648782,45.50265763081242,0.2745918370599743,0.009165738234151427,0.001447283824917496,0.0,1.0037405699400241,-0.3321618242381288
2016-05-18 ,31.658327102661133,31.95184673654611,31.44028440307859,31.658327102661133,10603000,0.0,0.0,0.17127850813891257,1.0,0.2172726469302383,0.7827273530697617,0.2172726469302383,0.0005298900516571218,0.32175055588512436,1.37351139180078,0.8379151425728982,1.4712155517398182,-0.2095252437038818,0.9999998690912341,0.5654547061395234,-0.9999999976519267,5829.084340700449,19.066739834811088,68.33651885834354,-0.13119366341594366,-0.202892750237959,-0.10602924423605521,1.0,-0.9968165030542203,1.000689073070982
2016-05-19 ,31.498998404672896,31.599633282889076,30.937113669788605,31.230636596679688,8221300,0.0,0.0,0.16127850813891256,1.0,0.126520430941241,0.873479569058759,0.12613531112656312,-0.006800724337359819,0.026844731152503746,0.785398163686537,0.01879329083999018,0.8157688938089299,0.1667079000307123,-0.9999998635858046,0.7473442579321958,0.9999999973420736,12171.506672086252,24.378785293013703,87.36597337264416,-0.390510037311558,-0.12965818694780717,0.03661728164507591,0.0,1.0002343761196082,-1.0002785364971223
2016-05-20 ,31.490614151927932,31.683499025079563,31.431910199191588,31.53254508972168,7807600,0.0,0.0,0.15127850813891258,1.0,0.12793399932459598,0.872066000675404,0.12793399932459598,0.004810280245996602,1.073853501800144,1.2439626985847718,1.5538734010358055,0.46364760940921923,-0.09388163577358527,0.9999999138748153,0.7441320013508079,-0.9999999961625473,11017.462221370732,23.581662650025145,84.51030704339718,-0.34765126378756156,0.02142938676199821,0.07554378685490269,1.0,-0.9969560652216878,0.9985254395869143
2016-05-23 ,31.6331682096459,31.6583261205916,31.255783549840544,31.339645385742188,7126700,0.0,0.0,0.14127850813891257,1.0,0.1392272635702672,0.8607727364297328,0.1390372146144732,-0.003068124436586508,1.4141040919795669,1.3886568752475466,0.7353843719906551,0.7853981644664702,0.1079808638031921,-0.9999998730707659,0.7217355218152597,0.9999999950461329,9942.199314908274,22.78712937599016,81.66395139540215,-0.3195203525154643,0.014065455636048635,-0.003681965562974787,0.0,1.0021127682673905,-0.998595220670648
